Player,RND,KPR,APR,FKPR,KMAX
"antG
LOUD.GC",13,1.23,0.54,0.00,16
"dynamic
TOR",13,1.69,0.08,0.38,22
"Carlee
mfs",15,1.13,0.47,0.13,17
"SUMM3R
BSG.GC",15,1.47,0.07,0.07,22
darm,16,1.44,0.00,0.13,23
aiden,16,1.31,0.31,0.31,21
nirvana,14,1.29,0.21,0.36,18
"lissa
pouc",13,1.08,0.15,0.08,14
hello kitty lvr,14,1.43,0.50,0.14,20
"Hyzee
FCY",18,1.06,0.72,0.06,19
lua,20,1.20,0.45,0.15,24
SupahTyTy,15,1.33,0.67,0.20,20
mare,18,1.33,0.11,0.28,24
pudj,21,1.14,0.43,0.05,24
"NiNix
PLS",14,1.29,0.21,0.00,18
"nataNk
M8",20,1.25,0.30,0.15,25
"m4ndzin
LOUD.GC",13,1.00,0.62,0.08,13
"frantastic
FIRE",18,1.00,0.50,0.00,18
"eluwu
MLT.GC",30,1.23,0.13,0.33,22
"bonniee
PLS",14,1.36,0.14,0.29,19
Tengu,15,0.87,0.33,0.13,13
Panda,20,0.80,1.00,0.20,16
"bdog
TTR",36,1.19,0.31,0.36,23
"Risorah
No T",20,1.35,0.25,0.10,27
"Alfajer
FNC",18,1.33,0.06,0.17,24
"ref
Mas",19,1.26,0.16,0.21,24
Infinity,24,1.13,0.13,0.21,27
takeszin,18,1.11,0.06,0.28,20
"Copy
FGCU.B",15,0.93,0.93,0.00,14
"waved
LOUD.GC",13,1.31,0.23,0.31,17
jhk,17,1.00,0.94,0.12,17
"enerii
XIP",35,1.11,0.14,0.31,22
"moshieroo
FKS.S",19,0.95,0.95,0.16,18
"alannah
KB",20,1.10,0.25,0.25,22
Zek,18,1.06,0.39,0.17,19
"Expvsed
5K I",17,1.24,0.18,0.18,21
"soulcas
APK",31,1.00,0.77,0.10,16
"jawgemo
EG",39,1.13,0.31,0.21,23
Sam,79,1.22,0.14,0.22,27
"Shintaro
ZOL",18,1.00,0.33,0.39,18
HALIBEL,16,0.75,0.44,0.06,12
"Twirly
MLT.GC",30,1.13,0.23,0.13,19
"szimpli
NOM",34,1.15,0.29,0.26,20
Lilith,33,0.88,0.52,0.12,20
surfer,20,1.15,0.15,0.15,23
"qRaxs
FUT",20,1.10,0.60,0.05,22
"NightmareSan
Irre",15,0.73,0.67,0.07,11
"Kudi
OTSU",17,0.88,0.59,0.06,15
"bstrdd
TL",128,1.16,0.20,0.23,22
dazzi,24,1.13,0.29,0.13,27
bae,21,0.86,0.24,0.00,18
"els
BOBE",20,1.05,0.65,0.20,21
"addison
Raw",16,1.38,0.50,0.06,22
"Migstur
NBG",22,1.14,0.55,0.14,25
"AvovA
APK",31,0.87,0.35,0.06,14
Hazza,28,1.32,0.14,0.21,37
"side
WTP",17,1.06,0.18,0.12,18
"Cryocells
100T",19,1.16,0.32,0.32,22
Mellie,14,0.86,0.14,0.21,12
"tok1o
Sduf",92,1.21,0.13,0.25,35
"showliana
KRÜ.B",34,1.00,0.32,0.09,20
"daiki
TL",128,0.80,0.84,0.11,16
Teddy,38,1.18,0.13,0.18,23
Rita,14,1.29,0.07,0.50,18
"Shizue
B4",38,0.84,0.97,0.05,17
"Joojina
TL",128,0.96,0.63,0.10,21
"reshi
FIRE",18,1.00,0.22,0.28,18
"Leun
UDX",62,1.05,0.27,0.18,31
SorryMaam,16,0.88,0.81,0.06,14
"mandu
KZ.T",49,1.06,0.29,0.24,21
"Ara
Clic",41,1.32,0.12,0.37,32
"Ayanami
UxMi",24,1.21,0.29,0.17,29
Seina,14,0.86,0.50,0.07,12
"Asuna
100T",19,0.74,1.21,0.00,14
Loweed,42,1.05,0.33,0.05,31
nicky,22,0.86,0.55,0.09,19
"edith
YFP",60,0.97,0.28,0.25,21
"f1cio
VIC",67,1.04,0.60,0.19,28
"puggy
FMG",57,0.84,0.39,0.05,18
"Lamperouge
AEE",34,1.15,0.41,0.21,21
"Alexy
XIP",35,1.17,0.17,0.29,29
R4M,19,0.89,0.47,0.05,17
"tellfeenzo
tgz",19,1.05,0.47,0.32,20
"mmonch
AKV.GC",53,1.19,0.19,0.09,28
