Player,RND,KPR,APR,FKPR,KMAX
"Zest
BLD",17,1.41,0.41,0.06,24
"EJAY
VAL",21,1.48,0.52,0.24,31
"kiss
Dead",51,1.41,0.27,0.41,28
"Vedi
BPX",24,1.25,0.42,0.08,30
"req
MFC",23,1.43,0.22,0.26,33
riyabtw,17,0.94,1.12,0.12,16
"supamen
EG",20,0.95,0.60,0.20,19
"nataNk
M8",20,1.25,0.30,0.15,25
"KRX
XIA",22,1.32,0.09,0.36,29
"puggy
FMG",36,0.92,0.33,0.08,18
"bdog
TTR",36,1.19,0.31,0.36,23
"micaela
KRÜ.B",16,1.25,0.25,0.13,20
"Mulan
CAL.S",17,1.06,0.18,0.18,18
"soulcas
APK",31,1.00,0.77,0.10,16
hannie,17,0.94,0.29,0.00,16
"senyorcarl
1MS",19,1.21,0.11,0.32,23
"alyaL
FPT",17,1.18,0.76,0.24,20
"geeza
Grif",36,1.08,0.14,0.11,21
nex1SphiX,24,1.25,0.25,0.13,30
"zeldris
QOR",64,1.27,0.14,0.36,33
"mmonch
AKV.GC",40,1.33,0.23,0.13,28
ixi,23,1.00,0.39,0.22,23
"qRaxs
FUT",20,1.10,0.60,0.05,22
"Melser
KRÜ",21,1.05,0.29,0.05,22
"klaudia
O1O",58,0.91,0.71,0.09,22
"AvovA
APK",31,0.87,0.35,0.06,14
"SemberN
AW3",36,1.03,0.28,0.11,23
"peace
TWIS.O",18,1.11,1.06,0.11,20
BLOD,23,0.91,0.74,0.04,21
"Cryocells
100T",19,1.16,0.32,0.32,22
"stew
SFU.P",52,0.96,0.58,0.00,20
KIMB0,17,0.94,0.12,0.12,16
"Ayanami
UxMi",24,1.21,0.29,0.17,29
"Flonson
AWAK",24,0.88,0.33,0.00,21
"atlas
Merc",20,1.20,0.30,0.10,24
"showliana
KRÜ.B",16,0.88,0.38,0.06,14
"Asuna
100T",19,0.74,1.21,0.00,14
Kawaii2k,20,1.15,0.25,0.10,23
nicky,22,0.86,0.55,0.09,19
"gobera
LGCY",45,1.24,0.13,0.27,30
"maniek
BAR",23,1.13,0.04,0.30,26
Sadeem,23,0.96,0.26,0.04,22
R4M,19,0.89,0.47,0.05,17
Khosoko,24,1.33,0.21,0.21,32
"Asce
THAN",20,0.85,0.55,0.00,17
"Alexy
XIP",22,1.32,0.14,0.27,29
"niffy
AAA",22,1.14,0.14,0.05,25
"kivary
OXEN",17,1.12,0.06,0.29,19
"Hotsauz
Jopa",21,1.14,0.24,0.14,24
