Player,RND,KPR,APR,FKPR,KMAX
"NiSMO
M80",14,1.43,0.71,0.21,20
"LEW
JJH",19,1.53,0.21,0.21,29
"wavy
Equi",18,1.44,0.39,0.44,26
"alexiiik
GN",17,1.29,0.18,0.12,22
"florescent
SR",64,1.36,0.13,0.22,33
"Jinboong
SG",16,1.19,0.06,0.31,19
"Andrehs
AKV.GC",16,1.00,0.56,0.06,16
"mindle
ODK",19,1.16,0.16,0.05,22
"Freyy
Z10",19,1.37,0.11,0.05,26
"Fizzy
MOUZ",15,1.20,0.40,0.20,18
"xuss
MOUZ",15,1.07,0.00,0.27,16
NOBITA,16,1.00,0.31,0.00,16
"123
KBLD",19,1.16,0.16,0.26,22
"Anva
fuVi",38,1.05,0.29,0.11,20
"Wizdran
CSUF",24,0.96,0.33,0.00,23
"EJAY
VAL",19,1.16,0.42,0.21,22
"BcJ
M80",14,0.86,0.29,0.07,12
"clear
BOB",36,1.17,0.31,0.33,24
"Kyu
Grif",49,1.02,0.51,0.08,19
"Kamiyu
XIP",59,1.25,0.42,0.08,28
"Wo0t
TH",15,0.73,1.27,0.07,11
"Xdll
FL",34,1.00,0.32,0.21,21
"Acerola
LAZY",24,0.96,0.29,0.13,23
"luiza
BD.FEM",19,1.00,0.42,0.16,19
"splash
NXGA",24,1.25,0.25,0.29,30
"nekoaimer
YFP",22,1.18,0.14,0.23,26
"kellyS
OAS",19,1.37,0.05,0.37,26
Mali,21,1.33,0.10,0.19,28
"Georggyyy
VAL",19,1.21,0.26,0.26,23
"Ivy
AKV.GC",16,1.13,0.13,0.25,18
"alyaL
FPT",17,1.18,0.29,0.12,20
DizzyFps,23,0.96,0.13,0.22,22
"Japips
OGX",24,1.13,0.13,0.04,27
"chanformer
NXT",24,0.79,0.50,0.08,19
"SkaNoodles
OXR",21,0.95,0.67,0.00,20
"Instxnct
Grif",68,0.99,0.24,0.29,19
"z7eus
TOG",24,1.13,0.17,0.21,27
"dods
KRÜ.B",109,0.98,0.39,0.21,28
"STYRON
SGP",52,1.02,0.37,0.10,28
"Eso177
OXR",40,1.00,0.23,0.13,21
"silenttt
ELV",34,0.88,0.44,0.06,16
"Nana
GMX.L",24,1.13,0.33,0.21,27
exa,24,1.04,0.46,0.17,25
"zeek
GN",17,0.71,0.18,0.00,12
"req
MFC",36,1.03,0.17,0.22,21
"richie
Thug",19,1.11,0.26,0.11,21
"gatorada
SG",16,0.88,0.69,0.19,14
"Fit1nho
GX",22,0.91,0.50,0.14,20
"RiceballiNNN
Red",24,0.88,0.50,0.08,21
"Ruxic
FF",23,1.17,0.22,0.13,27
"nitr0
M80",14,0.93,0.57,0.21,13
"aLerT
XIA",20,1.15,0.10,0.10,23
"alannn
NOVO",34,1.00,0.38,0.24,19
"quantumrino
PMT",36,1.06,0.31,0.14,20
"runi
C9",20,1.00,0.20,0.10,20
"kaajak
APK",95,0.99,0.28,0.20,22
"SyouTa
FL",34,1.15,0.18,0.26,21
Kali9su,19,0.89,0.37,0.16,17
"Felix
SK",54,0.87,0.43,0.15,19
"dapr
SEN",44,1.05,0.30,0.14,28
pashab,24,0.96,0.17,0.13,23
"CLZ
FL",34,0.88,0.32,0.06,20
"sabooboo
KS",18,0.89,0.44,0.06,16
"Vivii
UW.GC",55,1.00,0.22,0.24,24
"Nidxvilco
MDK",38,0.95,0.37,0.05,22
"madison
Irre",26,1.04,0.23,0.31,27
"JuW
AKV.GC",16,1.00,0.50,0.13,16
"moefcute
UBT",24,1.13,0.08,0.17,27
"Kakarot
ZOL",20,1.00,0.10,0.10,20
"welyy
MIND",19,1.05,0.32,0.05,20
"D4rf
XIA",20,0.95,0.25,0.10,19
"ZesBeeW
END",20,0.95,0.10,0.15,19
"kv7m
UNta",38,0.82,0.47,0.05,16
"Palla
puGG",106,1.15,0.17,0.23,32
"kev
Fish",23,1.09,0.22,0.35,25
"russ
S2G",23,0.91,0.26,0.39,21
"koalanoob
M80",14,0.86,0.36,0.14,12
"RxYaL
ONLI",36,0.81,0.31,0.06,18
"conir
KRÜ.B",109,0.81,0.38,0.07,21
"showliana
KRÜ.B",70,0.81,0.59,0.13,23
XyuS,44,1.07,0.11,0.27,27
1Frog1,24,1.08,0.21,0.21,26
"soulcas
APK",95,0.89,0.40,0.12,20
"Xeppaa
C9",20,0.80,0.60,0.05,16
"TajReX
LDS",47,1.06,0.30,0.15,26
"Kiddo
GMX.L",28,0.75,0.36,0.04,21
"gRIGUAj
NOVO",34,0.97,0.62,0.03,17
"GLYPH
MR",21,1.24,0.19,0.05,26
"Rossy
T1",24,0.92,0.67,0.08,22
"starkk
NOVO",34,0.82,0.65,0.15,18
"BeYN
DRX",21,0.76,0.52,0.00,16
"Reta
FLCV",18,0.78,0.44,0.06,14
"Kazler
RF.GC",22,0.95,0.36,0.05,21
"Elite
BBL",68,0.93,0.18,0.09,23
"SoOn
MDR",19,0.89,0.42,0.16,17
"McKinley
AIC",22,0.86,0.27,0.09,19
"CyvOph
MDR",19,1.00,0.32,0.11,19
