teams,status
"KRÜ Esports, 100 Thieves",LIVE
"FENNEL GC, ZETA DIVISION GC",Upcoming
"Arena Internet Cafe, JiJieHao",Upcoming
"MLT Esports, Reckoning Esports",Upcoming
"Meteor, DRX Changers",Upcoming
"JFT, BOBO",Upcoming
"Orangutan, Grayfox Esports",Upcoming
"Legacy, Hero Base",Upcoming
"9z Team GC, KRÜ BLAZE",Upcoming
"2Game Esports, RED Canids",Upcoming
"Akave Esports GC, FUSION X",Upcoming
"Carnival Gaming, True Rippers",Upcoming
"MLT Esports, Revenant Esports",Upcoming
"BBL Esports, GIANTX",Upcoming
"Karmine Corp, Team Heretics",Upcoming
"Zen Esports GC, ROYAL ONSLAUGHT GAMING",Upcoming
"Bon Bon Bum Contra GC, Kunai Esports FEM",Upcoming
"Reckoning Esports, Grayfox Esports",Upcoming
"EDward Gaming, All Gamers",Upcoming
"Carnival Gaming, Medal Esports",Upcoming
"Team Vitality, KOI",Upcoming
"Natus Vincere, FNATIC",Upcoming
"Team Secret, T1",Upcoming
"Paper Rex, Talon Esports",Upcoming
"Wolves Esports, JD Gaming",Upcoming
"Team Liquid, Gentle Mates",Upcoming
"BBL Esports, FUT Esports",Upcoming
"Sentinels, FURIA",Upcoming
"Dragon Ranger Gaming, TYLOO",Upcoming
"FOKUS, SK Gaming",Upcoming
"Bilibili Gaming, FunPlus Phoenix",Upcoming
"NRG Esports, 100 Thieves",Upcoming
"KRÜ Esports, Leviatán",Upcoming
"Nova Esports, Titan Esports Club",Upcoming
"Trace Esports, EDward Gaming",Upcoming
"Cloud9, MIBR",Upcoming
